date,state,fips,cases,deaths,new_cases
2020-01-26,Arizona,4,1,0,0.0
2020-01-27,Arizona,4,1,0,0.0
2020-01-28,Arizona,4,1,0,0.0
2020-01-29,Arizona,4,1,0,0.0
2020-01-30,Arizona,4,1,0,0.0
2020-01-31,Arizona,4,1,0,0.0
2020-02-01,Arizona,4,1,0,0.0
2020-02-02,Arizona,4,1,0,0.0
2020-02-03,Arizona,4,1,0,0.0
2020-02-04,Arizona,4,1,0,0.0
2020-02-05,Arizona,4,1,0,0.0
2020-02-06,Arizona,4,1,0,0.0
2020-02-07,Arizona,4,1,0,0.0
2020-02-08,Arizona,4,1,0,0.0
2020-02-09,Arizona,4,1,0,0.0
2020-02-10,Arizona,4,1,0,0.0
2020-02-11,Arizona,4,1,0,0.0
2020-02-12,Arizona,4,1,0,0.0
2020-02-13,Arizona,4,1,0,0.0
2020-02-14,Arizona,4,1,0,0.0
2020-02-15,Arizona,4,1,0,0.0
2020-02-16,Arizona,4,1,0,0.0
2020-02-17,Arizona,4,1,0,0.0
2020-02-18,Arizona,4,1,0,0.0
2020-02-19,Arizona,4,1,0,0.0
2020-02-20,Arizona,4,1,0,0.0
2020-02-21,Arizona,4,1,0,0.0
2020-02-22,Arizona,4,1,0,0.0
2020-02-23,Arizona,4,1,0,0.0
2020-02-24,Arizona,4,1,0,0.0
2020-02-25,Arizona,4,1,0,0.0
2020-02-26,Arizona,4,1,0,0.0
2020-02-27,Arizona,4,1,0,0.0
2020-02-28,Arizona,4,1,0,0.0
2020-02-29,Arizona,4,1,0,0.0
2020-03-01,Arizona,4,1,0,0.0
2020-03-02,Arizona,4,1,0,0.0
2020-03-03,Arizona,4,2,0,1.0
2020-03-04,Arizona,4,2,0,0.0
2020-03-05,Arizona,4,2,0,0.0
2020-03-06,Arizona,4,3,0,1.0
2020-03-07,Arizona,4,5,0,2.0
2020-03-08,Arizona,4,5,0,0.0
2020-03-09,Arizona,4,6,0,1.0
2020-03-10,Arizona,4,6,0,0.0
2020-03-11,Arizona,4,9,0,3.0
2020-03-12,Arizona,4,9,0,0.0
2020-03-13,Arizona,4,9,0,0.0
2020-03-14,Arizona,4,12,0,3.0
2020-03-15,Arizona,4,13,0,1.0
2020-03-16,Arizona,4,18,0,5.0
2020-03-17,Arizona,4,20,0,2.0
2020-03-18,Arizona,4,28,0,8.0
2020-03-19,Arizona,4,47,0,19.0
2020-03-20,Arizona,4,70,1,23.0
2020-03-21,Arizona,4,104,1,34.0
2020-03-22,Arizona,4,153,2,49.0
2020-03-23,Arizona,4,234,2,81.0
2020-03-24,Arizona,4,326,6,92.0
2020-03-25,Arizona,4,402,6,76.0
2020-03-26,Arizona,4,508,8,106.0
2020-03-27,Arizona,4,665,15,157.0
2020-03-28,Arizona,4,773,15,108.0
2020-03-29,Arizona,4,930,18,157.0
2020-03-30,Arizona,4,1169,20,239.0
2020-03-31,Arizona,4,1298,24,129.0
2020-04-01,Arizona,4,1413,29,115.0
2020-04-02,Arizona,4,1600,35,187.0
2020-04-03,Arizona,4,1769,41,169.0
2020-04-04,Arizona,4,2019,53,250.0
2020-04-05,Arizona,4,2269,64,250.0
2020-04-06,Arizona,4,2466,67,197.0
2020-04-07,Arizona,4,2577,77,111.0
2020-04-08,Arizona,4,2726,80,149.0
2020-04-09,Arizona,4,3018,89,292.0
2020-04-10,Arizona,4,3112,97,94.0
2020-04-11,Arizona,4,3393,112,281.0
2020-04-12,Arizona,4,3539,117,146.0
2020-04-13,Arizona,4,3702,122,163.0
2020-04-14,Arizona,4,3806,131,104.0
2020-04-15,Arizona,4,3962,142,156.0
2020-04-16,Arizona,4,4234,152,272.0
2020-04-17,Arizona,4,4507,174,273.0
2020-04-18,Arizona,4,4719,181,212.0
2020-04-19,Arizona,4,4929,188,210.0
2020-04-20,Arizona,4,5064,191,135.0
2020-04-21,Arizona,4,5251,213,187.0
2020-04-22,Arizona,4,5459,236,208.0
2020-04-23,Arizona,4,5769,257,310.0
2020-04-24,Arizona,4,6045,268,276.0
2020-04-25,Arizona,4,6280,275,235.0
2020-04-26,Arizona,4,6526,277,246.0
2020-04-27,Arizona,4,6716,277,190.0
2020-04-28,Arizona,4,6948,297,232.0
2020-04-29,Arizona,4,7202,308,254.0
2020-04-30,Arizona,4,7648,320,446.0
2020-05-01,Arizona,4,7962,330,314.0
2020-05-02,Arizona,4,8364,353,402.0
2020-05-03,Arizona,4,8640,362,276.0
2020-05-04,Arizona,4,8919,362,279.0
2020-05-05,Arizona,4,9305,395,386.0
2020-05-06,Arizona,4,9707,426,402.0
2020-05-07,Arizona,4,9945,450,238.0
2020-05-08,Arizona,4,10526,517,581.0
2020-05-09,Arizona,4,10960,532,434.0
2020-05-10,Arizona,4,11119,536,159.0
2020-05-11,Arizona,4,11380,542,261.0
2020-05-12,Arizona,4,11736,562,356.0
2020-05-13,Arizona,4,12176,594,440.0
2020-05-14,Arizona,4,12674,624,498.0
2020-05-15,Arizona,4,13169,651,495.0
2020-05-16,Arizona,4,13631,679,462.0
2020-05-17,Arizona,4,13937,680,306.0
2020-05-18,Arizona,4,14170,686,233.0
2020-05-19,Arizona,4,14566,704,396.0
2020-05-20,Arizona,4,14897,747,331.0
2020-05-21,Arizona,4,15315,763,418.0
2020-05-22,Arizona,4,15608,775,293.0
2020-05-23,Arizona,4,16040,799,432.0
2020-05-24,Arizona,4,16339,800,299.0
2020-05-25,Arizona,4,16561,806,222.0
2020-05-26,Arizona,4,16783,807,222.0
2020-05-27,Arizona,4,17262,831,479.0
2020-05-28,Arizona,4,17763,857,501.0
2020-05-29,Arizona,4,18465,885,702.0
2020-05-30,Arizona,4,19255,903,790.0
2020-05-31,Arizona,4,19936,906,681.0
2020-06-01,Arizona,4,20123,918,187.0
2020-06-02,Arizona,4,21250,943,1127.0
2020-06-03,Arizona,4,22245,983,995.0
2020-06-04,Arizona,4,22818,1000,573.0
2020-06-05,Arizona,4,24369,1016,1551.0
2020-06-06,Arizona,4,25517,1046,1148.0
2020-06-07,Arizona,4,26924,1048,1407.0
2020-06-08,Arizona,4,27761,1052,837.0
2020-06-09,Arizona,4,28396,1074,635.0
2020-06-10,Arizona,4,29981,1100,1585.0
2020-06-11,Arizona,4,31525,1130,1544.0
2020-06-12,Arizona,4,33167,1157,1642.0
2020-06-13,Arizona,4,34773,1190,1606.0
2020-06-14,Arizona,4,35953,1194,1180.0
2020-06-15,Arizona,4,37005,1204,1052.0
2020-06-16,Arizona,4,39298,1228,2293.0
2020-06-17,Arizona,4,41159,1252,1861.0
2020-06-18,Arizona,4,43731,1287,2572.0
2020-06-19,Arizona,4,46914,1322,3183.0
2020-06-20,Arizona,4,50198,1347,3284.0
2020-06-21,Arizona,4,52666,1350,2468.0
2020-06-22,Arizona,4,54767,1354,2101.0
2020-06-23,Arizona,4,58397,1398,3630.0
2020-06-24,Arizona,4,60207,1467,1810.0
2020-06-25,Arizona,4,63297,1495,3090.0
2020-06-26,Arizona,4,66676,1537,3379.0
2020-06-27,Arizona,4,70152,1581,3476.0
2020-06-28,Arizona,4,73961,1594,3809.0
2020-06-29,Arizona,4,74602,1598,641.0
2020-06-30,Arizona,4,79399,1645,4797.0
2020-07-01,Arizona,4,84152,1726,4753.0
2020-07-02,Arizona,4,87495,1766,3343.0
2020-07-03,Arizona,4,91894,1802,4399.0
2020-07-04,Arizona,4,94616,1821,2722.0
2020-07-05,Arizona,4,98126,1829,3510.0
2020-07-06,Arizona,4,101542,1832,3416.0
2020-07-07,Arizona,4,105159,1933,3617.0
2020-07-08,Arizona,4,108710,1973,3551.0
2020-07-09,Arizona,4,112783,2047,4073.0
2020-07-10,Arizona,4,116947,2093,4164.0
2020-07-11,Arizona,4,119991,2158,3044.0
2020-07-12,Arizona,4,122479,2239,2488.0
2020-07-13,Arizona,4,123917,2250,1438.0
2020-07-14,Arizona,4,128126,2341,4209.0
2020-07-15,Arizona,4,131411,2442,3285.0
2020-07-16,Arizona,4,134730,2506,3319.0
2020-07-17,Arizona,4,138575,2597,3845.0
2020-07-18,Arizona,4,141333,2733,2758.0
2020-07-19,Arizona,4,143644,2768,2311.0
2020-07-20,Arizona,4,145320,2795,1676.0
2020-07-21,Arizona,4,148730,2918,3410.0
2020-07-22,Arizona,4,150659,2976,1929.0
2020-07-23,Arizona,4,153029,3067,2370.0
2020-07-24,Arizona,4,156392,3156,3363.0
2020-07-25,Arizona,4,160055,3288,3663.0
2020-07-26,Arizona,4,162041,3313,1986.0
2020-01-25,California,6,1,0,0.0
2020-01-26,California,6,2,0,1.0
2020-01-27,California,6,2,0,0.0
2020-01-28,California,6,2,0,0.0
2020-01-29,California,6,2,0,0.0
2020-01-30,California,6,2,0,0.0
2020-01-31,California,6,3,0,1.0
2020-02-01,California,6,3,0,0.0
2020-02-02,California,6,6,0,3.0
2020-02-03,California,6,6,0,0.0
2020-02-04,California,6,6,0,0.0
2020-02-05,California,6,6,0,0.0
2020-02-06,California,6,6,0,0.0
2020-02-07,California,6,6,0,0.0
2020-02-08,California,6,6,0,0.0
2020-02-09,California,6,6,0,0.0
2020-02-10,California,6,7,0,1.0
2020-02-11,California,6,7,0,0.0
2020-02-12,California,6,7,0,0.0
2020-02-13,California,6,7,0,0.0
2020-02-14,California,6,7,0,0.0
2020-02-15,California,6,7,0,0.0
2020-02-16,California,6,7,0,0.0
2020-02-17,California,6,7,0,0.0
2020-02-18,California,6,7,0,0.0
2020-02-19,California,6,7,0,0.0
2020-02-20,California,6,8,0,1.0
2020-02-21,California,6,9,0,1.0
2020-02-22,California,6,9,0,0.0
2020-02-23,California,6,9,0,0.0
2020-02-24,California,6,11,0,2.0
2020-02-25,California,6,11,0,0.0
2020-02-26,California,6,26,0,15.0
2020-02-27,California,6,26,0,0.0
2020-02-28,California,6,27,0,1.0
2020-02-29,California,6,28,0,1.0
2020-03-01,California,6,33,0,5.0
2020-03-02,California,6,38,0,5.0
2020-03-03,California,6,45,0,7.0
2020-03-04,California,6,55,1,10.0
2020-03-05,California,6,67,1,12.0
2020-03-06,California,6,81,1,14.0
2020-03-07,California,6,100,1,19.0
2020-03-08,California,6,112,1,12.0
2020-03-09,California,6,172,2,60.0
2020-03-10,California,6,179,3,7.0
2020-03-11,California,6,202,4,23.0
2020-03-12,California,6,252,4,50.0
2020-03-13,California,6,320,5,68.0
2020-03-14,California,6,381,5,61.0
2020-03-15,California,6,478,6,97.0
2020-03-16,California,6,588,11,110.0
2020-03-17,California,6,732,14,144.0
2020-03-18,California,6,893,17,161.0
2020-03-19,California,6,1067,19,174.0
2020-03-20,California,6,1283,24,216.0
2020-03-21,California,6,1544,28,261.0
2020-03-22,California,6,1851,35,307.0
2020-03-23,California,6,2240,39,389.0
2020-03-24,California,6,2644,52,404.0
2020-03-25,California,6,3183,68,539.0
2020-03-26,California,6,4060,83,877.0
2020-03-27,California,6,4915,104,855.0
2020-03-28,California,6,5566,122,651.0
2020-03-29,California,6,6321,132,755.0
2020-03-30,California,6,7421,147,1100.0
2020-03-31,California,6,8583,184,1162.0
2020-04-01,California,6,9857,212,1274.0
2020-04-02,California,6,11190,247,1333.0
2020-04-03,California,6,12569,282,1379.0
2020-04-04,California,6,13796,323,1227.0
2020-04-05,California,6,15202,351,1406.0
2020-04-06,California,6,16361,386,1159.0
2020-04-07,California,6,17540,447,1179.0
2020-04-08,California,6,19043,506,1503.0
2020-04-09,California,6,20191,548,1148.0
2020-04-10,California,6,21366,594,1175.0
2020-04-11,California,6,22421,632,1055.0
2020-04-12,California,6,23323,676,902.0
2020-04-13,California,6,24334,725,1011.0
2020-04-14,California,6,25758,778,1424.0
2020-04-15,California,6,27107,885,1349.0
2020-04-16,California,6,28142,971,1035.0
2020-04-17,California,6,29398,1050,1256.0
2020-04-18,California,6,30829,1146,1431.0
2020-04-19,California,6,31544,1176,715.0
2020-04-20,California,6,33862,1223,2318.0
2020-04-21,California,6,35844,1316,1982.0
2020-04-22,California,6,37573,1425,1729.0
2020-04-23,California,6,39534,1548,1961.0
2020-04-24,California,6,41368,1619,1834.0
2020-04-25,California,6,42590,1692,1222.0
2020-04-26,California,6,43691,1716,1101.0
2020-04-27,California,6,45208,1800,1517.0
2020-04-28,California,6,46570,1884,1362.0
2020-04-29,California,6,48904,1961,2334.0
2020-04-30,California,6,50470,2057,1566.0
2020-05-01,California,6,52318,2147,1848.0
2020-05-02,California,6,53753,2213,1435.0
2020-05-03,California,6,55072,2235,1319.0
2020-05-04,California,6,56333,2297,1261.0
2020-05-05,California,6,58848,2386,2515.0
2020-05-06,California,6,60787,2478,1939.0
2020-05-07,California,6,62481,2561,1694.0
2020-05-08,California,6,64616,2650,2135.0
2020-05-09,California,6,66824,2732,2208.0
2020-05-10,California,6,68051,2769,1227.0
2020-05-11,California,6,69514,2820,1463.0
2020-05-12,California,6,71150,2902,1636.0
2020-05-13,California,6,73218,3014,2068.0
2020-05-14,California,6,74947,3039,1729.0
2020-05-15,California,6,77015,3192,2068.0
2020-05-16,California,6,78933,3254,1918.0
2020-05-17,California,6,80366,3290,1433.0
2020-05-18,California,6,81943,3322,1577.0
2020-05-19,California,6,83981,3422,2038.0
2020-05-20,California,6,86125,3514,2144.0
2020-05-21,California,6,88488,3624,2363.0
2020-05-22,California,6,90801,3690,2313.0
2020-05-23,California,6,92815,3768,2014.0
2020-05-24,California,6,94743,3790,1928.0
2020-05-25,California,6,97017,3808,2274.0
2020-05-26,California,6,99924,3859,2907.0
2020-05-27,California,6,101873,3961,1949.0
2020-05-28,California,6,104071,4042,2198.0
2020-05-29,California,6,107043,4144,2972.0
2020-05-30,California,6,110100,4214,3057.0
2020-05-31,California,6,113114,4242,3014.0
2020-06-01,California,6,115643,4287,2529.0
2020-06-02,California,6,118081,4360,2438.0
2020-06-03,California,6,120407,4422,2326.0
2020-06-04,California,6,122917,4484,2510.0
2020-06-05,California,6,126510,4550,3593.0
2020-06-06,California,6,129147,4626,2637.0
2020-06-07,California,6,131997,4653,2850.0
2020-06-08,California,6,134287,4679,2290.0
2020-06-09,California,6,137245,4775,2958.0
2020-06-10,California,6,140139,4869,2894.0
2020-06-11,California,6,143709,4941,3570.0
2020-06-12,California,6,147285,4986,3576.0
2020-06-13,California,6,150434,5059,3149.0
2020-06-14,California,6,152953,5089,2519.0
2020-06-15,California,6,155662,5120,2709.0
2020-06-16,California,6,159131,5202,3469.0
2020-06-17,California,6,163381,5283,4250.0
2020-06-18,California,6,167135,5359,3754.0
2020-06-19,California,6,170843,5425,3708.0
2020-06-20,California,6,174854,5495,4011.0
2020-06-21,California,6,178807,5517,3953.0
2020-06-22,California,6,184620,5561,5813.0
2020-06-23,California,6,191039,5637,6419.0
2020-06-24,California,6,195889,5728,4850.0
2020-06-25,California,6,201413,5810,5524.0
2020-06-26,California,6,207027,5872,5614.0
2020-06-27,California,6,211453,5902,4426.0
2020-06-28,California,6,216955,5937,5502.0
2020-06-29,California,6,223995,5979,7040.0
2020-06-30,California,6,232153,6083,8158.0
2020-07-01,California,6,239764,6168,7611.0
2020-07-02,California,6,248198,6263,8434.0
2020-07-03,California,6,256298,6315,8100.0
2020-07-04,California,6,265176,6329,8878.0
2020-07-05,California,6,271587,6369,6411.0
2020-07-06,California,6,277869,6452,6282.0
2020-07-07,California,6,287766,6563,9897.0
2020-07-08,California,6,296304,6708,8538.0
2020-07-09,California,6,303516,6825,7212.0
2020-07-10,California,6,311505,6936,7989.0
2020-07-11,California,6,320030,7012,8525.0
2020-07-12,California,6,327676,7042,7646.0
2020-07-13,California,6,336206,7086,8530.0
2020-07-14,California,6,346593,7227,10387.0
2020-07-15,California,6,355497,7368,8904.0
2020-07-16,California,6,364761,7490,9264.0
2020-07-17,California,6,374922,7607,10161.0
2020-07-18,California,6,383194,7697,8272.0
2020-07-19,California,6,391460,7710,8266.0
2020-07-20,California,6,400195,7764,8735.0
2020-07-21,California,6,410366,7883,10171.0
2020-07-22,California,6,422528,8038,12162.0
2020-07-23,California,6,433175,8190,10647.0
2020-07-24,California,6,443096,8325,9921.0
2020-07-25,California,6,453327,8428,10231.0
2020-07-26,California,6,459338,8451,6011.0
2020-03-01,Florida,12,2,0,0.0
2020-03-02,Florida,12,2,0,0.0
2020-03-03,Florida,12,3,0,1.0
2020-03-04,Florida,12,3,0,0.0
2020-03-05,Florida,12,4,0,1.0
2020-03-06,Florida,12,7,2,3.0
2020-03-07,Florida,12,12,2,5.0
2020-03-08,Florida,12,13,2,1.0
2020-03-09,Florida,12,14,2,1.0
2020-03-10,Florida,12,23,2,9.0
2020-03-11,Florida,12,26,2,3.0
2020-03-12,Florida,12,46,2,20.0
2020-03-13,Florida,12,70,2,24.0
2020-03-14,Florida,12,70,3,0.0
2020-03-15,Florida,12,109,3,39.0
2020-03-16,Florida,12,141,4,32.0
2020-03-17,Florida,12,210,6,69.0
2020-03-18,Florida,12,326,7,116.0
2020-03-19,Florida,12,434,8,108.0
2020-03-20,Florida,12,564,9,130.0
2020-03-21,Florida,12,764,11,200.0
2020-03-22,Florida,12,1000,13,236.0
2020-03-23,Florida,12,1222,18,222.0
2020-03-24,Florida,12,1467,20,245.0
2020-03-25,Florida,12,1971,23,504.0
2020-03-26,Florida,12,2478,29,507.0
2020-03-27,Florida,12,3198,46,720.0
2020-03-28,Florida,12,4038,56,840.0
2020-03-29,Florida,12,4943,60,905.0
2020-03-30,Florida,12,5695,72,752.0
2020-03-31,Florida,12,6742,85,1047.0
2020-04-01,Florida,12,7769,100,1027.0
2020-04-02,Florida,12,9000,144,1231.0
2020-04-03,Florida,12,10260,169,1260.0
2020-04-04,Florida,12,11537,194,1277.0
2020-04-05,Florida,12,12342,220,805.0
2020-04-06,Florida,12,13621,253,1279.0
2020-04-07,Florida,12,14739,295,1118.0
2020-04-08,Florida,12,15690,322,951.0
2020-04-09,Florida,12,16819,370,1129.0
2020-04-10,Florida,12,17960,418,1141.0
2020-04-11,Florida,12,18978,445,1018.0
2020-04-12,Florida,12,19855,460,877.0
2020-04-13,Florida,12,21011,498,1156.0
2020-04-14,Florida,12,21620,570,609.0
2020-04-15,Florida,12,22526,613,906.0
2020-04-16,Florida,12,23332,667,806.0
2020-04-17,Florida,12,24745,725,1413.0
2020-04-18,Florida,12,25484,747,739.0
2020-04-19,Florida,12,26306,773,822.0
2020-04-20,Florida,12,27050,822,744.0
2020-04-21,Florida,12,27861,866,811.0
2020-04-22,Florida,12,28301,926,440.0
2020-04-23,Florida,12,29640,986,1339.0
2020-04-24,Florida,12,30525,1045,885.0
2020-04-25,Florida,12,30831,1054,306.0
2020-04-26,Florida,12,31520,1073,689.0
2020-04-27,Florida,12,32130,1087,610.0
2020-04-28,Florida,12,32838,1170,708.0
2020-04-29,Florida,12,33185,1216,347.0
2020-04-30,Florida,12,33683,1267,498.0
2020-05-01,Florida,12,34720,1313,1037.0
2020-05-02,Florida,12,35455,1363,735.0
2020-05-03,Florida,12,36070,1378,615.0
2020-05-04,Florida,12,36889,1398,819.0
2020-05-05,Florida,12,37431,1470,542.0
2020-05-06,Florida,12,37994,1538,563.0
2020-05-07,Florida,12,38820,1599,826.0
2020-05-08,Florida,12,39191,1668,371.0
2020-05-09,Florida,12,39993,1714,802.0
2020-05-10,Florida,12,40588,1720,595.0
2020-05-11,Florida,12,40974,1734,386.0
2020-05-12,Florida,12,41915,1778,941.0
2020-05-13,Florida,12,42394,1826,479.0
2020-05-14,Florida,12,43202,1874,808.0
2020-05-15,Florida,12,44130,1916,928.0
2020-05-16,Florida,12,44803,1963,673.0
2020-05-17,Florida,12,45580,1972,777.0
2020-05-18,Florida,12,46434,1996,854.0
2020-05-19,Florida,12,46936,2051,502.0
2020-05-20,Florida,12,47463,2095,527.0
2020-05-21,Florida,12,48667,2143,1204.0
2020-05-22,Florida,12,49443,2189,776.0
2020-05-23,Florida,12,50119,2232,676.0
2020-05-24,Florida,12,50859,2236,740.0
2020-05-25,Florida,12,51738,2251,879.0
2020-05-26,Florida,12,52247,2258,509.0
2020-05-27,Florida,12,52626,2318,379.0
2020-05-28,Florida,12,53277,2363,651.0
2020-05-29,Florida,12,54489,2412,1212.0
2020-05-30,Florida,12,55416,2446,927.0
2020-05-31,Florida,12,56155,2450,739.0
2020-06-01,Florida,12,56822,2459,667.0
2020-06-02,Florida,12,57439,2529,617.0
2020-06-03,Florida,12,58756,2565,1317.0
2020-06-04,Florida,12,60175,2606,1419.0
2020-06-05,Florida,12,61480,2659,1305.0
2020-06-06,Florida,12,62750,2687,1270.0
2020-06-07,Florida,12,63930,2699,1180.0
2020-06-08,Florida,12,64896,2711,966.0
2020-06-09,Florida,12,65992,2764,1096.0
2020-06-10,Florida,12,67363,2800,1371.0
2020-06-11,Florida,12,69061,2847,1698.0
2020-06-12,Florida,12,70963,2876,1902.0
2020-06-13,Florida,12,73544,2924,2581.0
2020-06-14,Florida,12,75560,2930,2016.0
2020-06-15,Florida,12,77318,2937,1758.0
2020-06-16,Florida,12,80101,2992,2783.0
2020-06-17,Florida,12,82711,3017,2610.0
2020-06-18,Florida,12,85918,3060,3207.0
2020-06-19,Florida,12,89740,3103,3822.0
2020-06-20,Florida,12,93789,3143,4049.0
2020-06-21,Florida,12,97283,3160,3494.0
2020-06-22,Florida,12,100209,3172,2926.0
2020-06-23,Florida,12,103495,3237,3286.0
2020-06-24,Florida,12,109006,3280,5511.0
2020-06-25,Florida,12,114010,3326,5004.0
2020-06-26,Florida,12,122952,3365,8942.0
2020-06-27,Florida,12,132537,3389,9585.0
2020-06-28,Florida,12,141067,3418,8530.0
2020-06-29,Florida,12,146333,3446,5266.0
2020-06-30,Florida,12,152426,3504,6093.0
2020-07-01,Florida,12,158989,3549,6563.0
2020-07-02,Florida,12,169098,3616,10109.0
2020-07-03,Florida,12,178586,3683,9488.0
2020-07-04,Florida,12,190044,3701,11458.0
2020-07-05,Florida,12,200103,3730,10059.0
2020-07-06,Florida,12,206439,3777,6336.0
2020-07-07,Florida,12,213786,3840,7347.0
2020-07-08,Florida,12,223775,3888,9989.0
2020-07-09,Florida,12,232710,4008,8935.0
2020-07-10,Florida,12,244143,4101,11433.0
2020-07-11,Florida,12,254503,4196,10360.0
2020-07-12,Florida,12,269803,4241,15300.0
2020-07-13,Florida,12,282427,4276,12624.0
2020-07-14,Florida,12,291621,4408,9194.0
2020-07-15,Florida,12,301802,4520,10181.0
2020-07-16,Florida,12,315767,4676,13965.0
2020-07-17,Florida,12,327233,4804,11466.0
2020-07-18,Florida,12,337561,4894,10328.0
2020-07-19,Florida,12,350039,4981,12478.0
2020-07-20,Florida,12,360386,5071,10347.0
2020-07-21,Florida,12,369826,5205,9440.0
2020-07-22,Florida,12,379611,5344,9785.0
2020-07-23,Florida,12,389860,5517,10249.0
2020-07-24,Florida,12,402304,5652,12444.0
2020-07-25,Florida,12,414503,5776,12199.0
2020-07-26,Florida,12,423847,5853,9344.0
2020-01-24,Illinois,17,1,0,0.0
2020-01-25,Illinois,17,1,0,0.0
2020-01-26,Illinois,17,1,0,0.0
2020-01-27,Illinois,17,1,0,0.0
2020-01-28,Illinois,17,1,0,0.0
2020-01-29,Illinois,17,1,0,0.0
2020-01-30,Illinois,17,2,0,1.0
2020-01-31,Illinois,17,2,0,0.0
2020-02-01,Illinois,17,2,0,0.0
2020-02-02,Illinois,17,2,0,0.0
2020-02-03,Illinois,17,2,0,0.0
2020-02-04,Illinois,17,2,0,0.0
2020-02-05,Illinois,17,2,0,0.0
2020-02-06,Illinois,17,2,0,0.0
2020-02-07,Illinois,17,2,0,0.0
2020-02-08,Illinois,17,2,0,0.0
2020-02-09,Illinois,17,2,0,0.0
2020-02-10,Illinois,17,2,0,0.0
2020-02-11,Illinois,17,2,0,0.0
2020-02-12,Illinois,17,2,0,0.0
2020-02-13,Illinois,17,2,0,0.0
2020-02-14,Illinois,17,2,0,0.0
2020-02-15,Illinois,17,2,0,0.0
2020-02-16,Illinois,17,2,0,0.0
2020-02-17,Illinois,17,2,0,0.0
2020-02-18,Illinois,17,2,0,0.0
2020-02-19,Illinois,17,2,0,0.0
2020-02-20,Illinois,17,2,0,0.0
2020-02-21,Illinois,17,2,0,0.0
2020-02-22,Illinois,17,2,0,0.0
2020-02-23,Illinois,17,2,0,0.0
2020-02-24,Illinois,17,2,0,0.0
2020-02-25,Illinois,17,2,0,0.0
2020-02-26,Illinois,17,2,0,0.0
2020-02-27,Illinois,17,2,0,0.0
2020-02-28,Illinois,17,2,0,0.0
2020-02-29,Illinois,17,3,0,1.0
2020-03-01,Illinois,17,3,0,0.0
2020-03-02,Illinois,17,4,0,1.0
2020-03-03,Illinois,17,4,0,0.0
2020-03-04,Illinois,17,4,0,0.0
2020-03-05,Illinois,17,5,0,1.0
2020-03-06,Illinois,17,6,0,1.0
2020-03-07,Illinois,17,6,0,0.0
2020-03-08,Illinois,17,7,0,1.0
2020-03-09,Illinois,17,11,0,4.0
2020-03-10,Illinois,17,19,0,8.0
2020-03-11,Illinois,17,25,0,6.0
2020-03-12,Illinois,17,32,0,7.0
2020-03-13,Illinois,17,46,0,14.0
2020-03-14,Illinois,17,66,0,20.0
2020-03-15,Illinois,17,94,0,28.0
2020-03-16,Illinois,17,104,0,10.0
2020-03-17,Illinois,17,159,1,55.0
2020-03-18,Illinois,17,286,1,127.0
2020-03-19,Illinois,17,420,4,134.0
2020-03-20,Illinois,17,583,5,163.0
2020-03-21,Illinois,17,751,6,168.0
2020-03-22,Illinois,17,1047,9,296.0
