location,date,total_cases,new_cases,total_deaths,new_deaths
Argentina,2020-02-11,0.0,0.0,0.0,0.0
Argentina,2020-02-12,0.0,0.0,0.0,0.0
Argentina,2020-02-13,0.0,0.0,0.0,0.0
Argentina,2020-02-14,0.0,0.0,0.0,0.0
Argentina,2020-02-15,0.0,0.0,0.0,0.0
Argentina,2020-02-16,0.0,0.0,0.0,0.0
Argentina,2020-02-17,0.0,0.0,0.0,0.0
Argentina,2020-02-18,0.0,0.0,0.0,0.0
Argentina,2020-02-19,0.0,0.0,0.0,0.0
Argentina,2020-02-20,0.0,0.0,0.0,0.0
Argentina,2020-02-21,0.0,0.0,0.0,0.0
Argentina,2020-02-22,0.0,0.0,0.0,0.0
Argentina,2020-02-23,0.0,0.0,0.0,0.0
Argentina,2020-02-24,0.0,0.0,0.0,0.0
Argentina,2020-02-25,0.0,0.0,0.0,0.0
Argentina,2020-02-26,0.0,0.0,0.0,0.0
Argentina,2020-02-27,0.0,0.0,0.0,0.0
Argentina,2020-02-28,0.0,0.0,0.0,0.0
Argentina,2020-02-29,0.0,0.0,0.0,0.0
Argentina,2020-03-01,0.0,0.0,0.0,0.0
Argentina,2020-03-02,0.0,0.0,0.0,0.0
Argentina,2020-03-03,0.0,0.0,0.0,0.0
Argentina,2020-03-04,1.0,1.0,0.0,0.0
Argentina,2020-03-05,0.0,0.0,0.0,0.0
Argentina,2020-03-06,2.0,1.0,0.0,0.0
Argentina,2020-03-07,8.0,6.0,0.0,0.0
Argentina,2020-03-08,9.0,1.0,1.0,1.0
Argentina,2020-03-09,12.0,3.0,1.0,0.0
Argentina,2020-03-10,0.0,0.0,0.0,0.0
Argentina,2020-03-11,19.0,7.0,1.0,0.0
Argentina,2020-03-12,0.0,0.0,0.0,0.0
Argentina,2020-03-13,31.0,12.0,1.0,0.0
Argentina,2020-03-14,34.0,3.0,2.0,1.0
Argentina,2020-03-15,45.0,11.0,2.0,0.0
Argentina,2020-03-16,56.0,11.0,2.0,0.0
Argentina,2020-03-17,65.0,9.0,2.0,0.0
Argentina,2020-03-18,79.0,14.0,2.0,0.0
Argentina,2020-03-19,97.0,18.0,2.0,0.0
Argentina,2020-03-20,128.0,31.0,3.0,1.0
Argentina,2020-03-21,158.0,30.0,3.0,0.0
Argentina,2020-03-22,225.0,67.0,4.0,1.0
Argentina,2020-03-23,266.0,41.0,4.0,0.0
Argentina,2020-03-24,301.0,35.0,4.0,0.0
Argentina,2020-03-25,387.0,86.0,6.0,2.0
Argentina,2020-03-26,502.0,115.0,8.0,2.0
Argentina,2020-03-27,589.0,87.0,12.0,4.0
Argentina,2020-03-28,690.0,101.0,17.0,5.0
Argentina,2020-03-29,745.0,55.0,19.0,2.0
Argentina,2020-03-30,820.0,75.0,20.0,1.0
Argentina,2020-03-31,966.0,146.0,24.0,4.0
Argentina,2020-04-01,966.0,0.0,24.0,0.0
Argentina,2020-04-02,1133.0,167.0,31.0,7.0
Argentina,2020-04-03,1133.0,0.0,34.0,3.0
Argentina,2020-04-04,1265.0,132.0,37.0,3.0
Argentina,2020-04-05,1451.0,186.0,43.0,6.0
Argentina,2020-04-06,1554.0,103.0,46.0,3.0
Argentina,2020-04-07,1628.0,74.0,53.0,7.0
Argentina,2020-04-08,1715.0,87.0,60.0,7.0
Argentina,2020-04-09,1795.0,80.0,65.0,5.0
Argentina,2020-04-10,1894.0,99.0,79.0,14.0
Argentina,2020-04-11,1975.0,81.0,82.0,3.0
Argentina,2020-04-12,2137.0,162.0,89.0,7.0
Argentina,2020-04-13,2203.0,66.0,95.0,6.0
Argentina,2020-04-14,2272.0,69.0,98.0,3.0
Argentina,2020-04-15,2432.0,160.0,105.0,7.0
Argentina,2020-04-16,2432.0,0.0,109.0,4.0
Argentina,2020-04-17,2560.0,128.0,115.0,6.0
Argentina,2020-04-18,2658.0,98.0,122.0,7.0
Argentina,2020-04-19,2828.0,170.0,132.0,10.0
Argentina,2020-04-20,2930.0,102.0,134.0,2.0
Argentina,2020-04-21,3020.0,90.0,142.0,8.0
Argentina,2020-04-22,3132.0,112.0,151.0,9.0
Argentina,2020-04-23,3276.0,144.0,159.0,8.0
Argentina,2020-04-24,3423.0,147.0,165.0,6.0
Argentina,2020-04-25,3423.0,0.0,167.0,2.0
Argentina,2020-04-26,3767.0,344.0,185.0,18.0
Argentina,2020-04-27,3767.0,0.0,186.0,1.0
Argentina,2020-04-28,3990.0,223.0,197.0,11.0
Argentina,2020-04-29,4114.0,124.0,207.0,10.0
Argentina,2020-04-30,4272.0,158.0,214.0,7.0
Argentina,2020-05-01,4415.0,143.0,218.0,4.0
Argentina,2020-05-02,4519.0,104.0,225.0,7.0
Argentina,2020-05-03,4668.0,149.0,237.0,12.0
Argentina,2020-05-04,4770.0,102.0,246.0,9.0
Argentina,2020-05-05,4874.0,104.0,260.0,14.0
Argentina,2020-05-06,5007.0,133.0,264.0,4.0
Argentina,2020-05-07,5195.0,188.0,273.0,9.0
Argentina,2020-05-08,5358.0,163.0,282.0,9.0
Argentina,2020-05-09,5598.0,240.0,293.0,11.0
Argentina,2020-05-10,5763.0,165.0,300.0,7.0
Argentina,2020-05-11,5776.0,13.0,300.0,0.0
Argentina,2020-05-12,6021.0,245.0,305.0,5.0
Argentina,2020-05-13,6550.0,529.0,319.0,14.0
Argentina,2020-05-14,6866.0,316.0,329.0,10.0
Argentina,2020-05-15,7121.0,255.0,353.0,24.0
Argentina,2020-05-16,7466.0,345.0,356.0,3.0
Argentina,2020-05-17,7792.0,326.0,363.0,7.0
Argentina,2020-05-18,7792.0,0.0,366.0,3.0
Argentina,2020-05-19,8358.0,566.0,382.0,16.0
Argentina,2020-05-20,8796.0,438.0,393.0,11.0
Argentina,2020-05-21,9270.0,474.0,403.0,10.0
Argentina,2020-05-22,9918.0,648.0,416.0,13.0
Argentina,2020-05-23,10636.0,718.0,433.0,17.0
Argentina,2020-05-24,11340.0,704.0,445.0,12.0
Argentina,2020-05-25,12063.0,723.0,452.0,7.0
Argentina,2020-05-26,12615.0,552.0,467.0,15.0
Argentina,2020-05-27,13215.0,600.0,484.0,17.0
Argentina,2020-05-28,13920.0,705.0,500.0,16.0
Argentina,2020-05-29,14689.0,769.0,508.0,8.0
Argentina,2020-05-30,15406.0,717.0,520.0,12.0
Argentina,2020-05-31,16201.0,795.0,528.0,8.0
Argentina,2020-06-01,16838.0,637.0,539.0,11.0
Argentina,2020-06-02,17402.0,564.0,556.0,17.0
Argentina,2020-06-03,18306.0,904.0,569.0,13.0
Argentina,2020-06-04,19255.0,949.0,583.0,14.0
Argentina,2020-06-05,19255.0,0.0,588.0,5.0
Argentina,2020-06-06,21024.0,1769.0,632.0,44.0
Argentina,2020-06-07,22007.0,983.0,648.0,16.0
Argentina,2020-06-08,22781.0,774.0,664.0,16.0
Argentina,2020-06-09,23607.0,826.0,693.0,29.0
Argentina,2020-06-10,24748.0,1141.0,717.0,24.0
Argentina,2020-06-11,25987.0,1239.0,735.0,18.0
Argentina,2020-06-12,27360.0,1373.0,765.0,30.0
Argentina,2020-06-13,28751.0,1391.0,785.0,20.0
Argentina,2020-06-14,30282.0,1531.0,815.0,30.0
Argentina,2020-06-15,31564.0,1282.0,833.0,18.0
Argentina,2020-06-16,32772.0,1208.0,854.0,21.0
Argentina,2020-06-17,34146.0,1374.0,878.0,24.0
Argentina,2020-06-18,35539.0,1393.0,913.0,35.0
Argentina,2020-06-19,35539.0,0.0,929.0,16.0
Argentina,2020-06-20,39557.0,4018.0,979.0,50.0
Argentina,2020-06-21,41191.0,1634.0,992.0,13.0
Argentina,2020-06-22,42772.0,1581.0,1011.0,19.0
Argentina,2020-06-23,44918.0,2146.0,1043.0,32.0
Argentina,2020-06-24,44918.0,0.0,1049.0,6.0
Argentina,2020-06-25,49838.0,4920.0,1085.0,36.0
Argentina,2020-06-26,52444.0,2606.0,1124.0,39.0
Argentina,2020-06-27,52444.0,0.0,1167.0,43.0
Argentina,2020-06-28,57731.0,5287.0,1207.0,40.0
Argentina,2020-06-29,57731.0,0.0,1217.0,10.0
Argentina,2020-06-30,62255.0,4524.0,1280.0,63.0
Argentina,2020-07-01,64517.0,2262.0,1307.0,27.0
Argentina,2020-07-02,67184.0,2667.0,1351.0,44.0
Argentina,2020-07-03,69928.0,2744.0,1385.0,34.0
Argentina,2020-07-04,72773.0,2845.0,1437.0,52.0
Argentina,2020-07-05,72773.0,0.0,1453.0,16.0
Argentina,2020-07-06,75363.0,2590.0,1490.0,37.0
Argentina,2020-07-07,77802.0,2439.0,1523.0,33.0
Argentina,2020-07-08,80434.0,2632.0,1602.0,79.0
Argentina,2020-07-09,83413.0,2979.0,1654.0,52.0
Argentina,2020-07-10,87017.0,3604.0,1707.0,53.0
Argentina,2020-07-11,90680.0,3663.0,1749.0,42.0
Argentina,2020-07-12,94047.0,3367.0,1810.0,61.0
Argentina,2020-07-13,97496.0,3449.0,1818.0,8.0
Argentina,2020-07-14,100153.0,2657.0,1903.0,85.0
Argentina,2020-07-15,103252.0,3099.0,1926.0,23.0
Argentina,2020-07-16,106897.0,3645.0,2050.0,124.0
Argentina,2020-07-17,111147.0,4250.0,2112.0,62.0
Argentina,2020-07-18,114770.0,3623.0,2133.0,21.0
Argentina,2020-07-19,119288.0,4518.0,2204.0,71.0
Argentina,2020-07-20,122511.0,3223.0,2246.0,42.0
Argentina,2020-07-21,126742.0,4231.0,2373.0,127.0
Argentina,2020-07-22,130761.0,4019.0,2373.0,0.0
Argentina,2020-07-23,136105.0,5344.0,2506.0,133.0
Argentina,2020-07-24,141887.0,5782.0,2617.0,111.0
Argentina,2020-07-25,148014.0,6127.0,2722.0,105.0
Argentina,2020-07-26,153507.0,5493.0,2847.0,125.0
Argentina,2020-07-27,162513.0,9006.0,2939.0,92.0
Brazil,2019-12-31,0.0,0.0,0.0,0.0
Brazil,2020-01-01,0.0,0.0,0.0,0.0
Brazil,2020-01-02,0.0,0.0,0.0,0.0
Brazil,2020-01-03,0.0,0.0,0.0,0.0
Brazil,2020-01-04,0.0,0.0,0.0,0.0
Brazil,2020-01-05,0.0,0.0,0.0,0.0
Brazil,2020-01-06,0.0,0.0,0.0,0.0
Brazil,2020-01-07,0.0,0.0,0.0,0.0
Brazil,2020-01-08,0.0,0.0,0.0,0.0
Brazil,2020-01-09,0.0,0.0,0.0,0.0
Brazil,2020-01-10,0.0,0.0,0.0,0.0
Brazil,2020-01-11,0.0,0.0,0.0,0.0
Brazil,2020-01-12,0.0,0.0,0.0,0.0
Brazil,2020-01-13,0.0,0.0,0.0,0.0
Brazil,2020-01-14,0.0,0.0,0.0,0.0
Brazil,2020-01-15,0.0,0.0,0.0,0.0
Brazil,2020-01-16,0.0,0.0,0.0,0.0
Brazil,2020-01-17,0.0,0.0,0.0,0.0
Brazil,2020-01-18,0.0,0.0,0.0,0.0
Brazil,2020-01-19,0.0,0.0,0.0,0.0
Brazil,2020-01-20,0.0,0.0,0.0,0.0
Brazil,2020-01-21,0.0,0.0,0.0,0.0
Brazil,2020-01-22,0.0,0.0,0.0,0.0
Brazil,2020-01-23,0.0,0.0,0.0,0.0
Brazil,2020-01-24,0.0,0.0,0.0,0.0
Brazil,2020-01-25,0.0,0.0,0.0,0.0
Brazil,2020-01-26,0.0,0.0,0.0,0.0
Brazil,2020-01-27,0.0,0.0,0.0,0.0
Brazil,2020-01-28,0.0,0.0,0.0,0.0
Brazil,2020-01-29,0.0,0.0,0.0,0.0
Brazil,2020-01-30,0.0,0.0,0.0,0.0
Brazil,2020-01-31,0.0,0.0,0.0,0.0
Brazil,2020-02-01,0.0,0.0,0.0,0.0
Brazil,2020-02-02,0.0,0.0,0.0,0.0
Brazil,2020-02-03,0.0,0.0,0.0,0.0
Brazil,2020-02-04,0.0,0.0,0.0,0.0
Brazil,2020-02-05,0.0,0.0,0.0,0.0
Brazil,2020-02-06,0.0,0.0,0.0,0.0
Brazil,2020-02-07,0.0,0.0,0.0,0.0
Brazil,2020-02-08,0.0,0.0,0.0,0.0
Brazil,2020-02-09,0.0,0.0,0.0,0.0
Brazil,2020-02-10,0.0,0.0,0.0,0.0
Brazil,2020-02-11,0.0,0.0,0.0,0.0
Brazil,2020-02-12,0.0,0.0,0.0,0.0
Brazil,2020-02-13,0.0,0.0,0.0,0.0
Brazil,2020-02-14,0.0,0.0,0.0,0.0
Brazil,2020-02-15,0.0,0.0,0.0,0.0
Brazil,2020-02-16,0.0,0.0,0.0,0.0
Brazil,2020-02-17,0.0,0.0,0.0,0.0
Brazil,2020-02-18,0.0,0.0,0.0,0.0
Brazil,2020-02-19,0.0,0.0,0.0,0.0
Brazil,2020-02-20,0.0,0.0,0.0,0.0
Brazil,2020-02-21,0.0,0.0,0.0,0.0
Brazil,2020-02-22,0.0,0.0,0.0,0.0
Brazil,2020-02-23,0.0,0.0,0.0,0.0
Brazil,2020-02-24,0.0,0.0,0.0,0.0
Brazil,2020-02-25,0.0,0.0,0.0,0.0
Brazil,2020-02-26,1.0,1.0,0.0,0.0
Brazil,2020-02-27,1.0,0.0,0.0,0.0
Brazil,2020-02-28,1.0,0.0,0.0,0.0
Brazil,2020-02-29,1.0,0.0,0.0,0.0
Brazil,2020-03-01,2.0,1.0,0.0,0.0
Brazil,2020-03-02,2.0,0.0,0.0,0.0
Brazil,2020-03-03,2.0,0.0,0.0,0.0
Brazil,2020-03-04,2.0,0.0,0.0,0.0
Brazil,2020-03-05,3.0,1.0,0.0,0.0
Brazil,2020-03-06,8.0,5.0,0.0,0.0
Brazil,2020-03-07,13.0,5.0,0.0,0.0
Brazil,2020-03-08,13.0,0.0,0.0,0.0
Brazil,2020-03-09,25.0,12.0,0.0,0.0
Brazil,2020-03-10,25.0,0.0,0.0,0.0
Brazil,2020-03-11,34.0,9.0,0.0,0.0
Brazil,2020-03-12,52.0,18.0,0.0,0.0
Brazil,2020-03-13,77.0,25.0,0.0,0.0
Brazil,2020-03-14,98.0,21.0,0.0,0.0
Brazil,2020-03-15,121.0,23.0,0.0,0.0
Brazil,2020-03-16,200.0,79.0,0.0,0.0
Brazil,2020-03-17,234.0,34.0,0.0,0.0
Brazil,2020-03-18,291.0,57.0,1.0,1.0
Brazil,2020-03-19,428.0,137.0,4.0,3.0
Brazil,2020-03-20,621.0,193.0,6.0,2.0
Brazil,2020-03-21,904.0,283.0,11.0,5.0
Brazil,2020-03-22,1128.0,224.0,18.0,7.0
Brazil,2020-03-23,1546.0,418.0,25.0,7.0
Brazil,2020-03-24,1891.0,345.0,34.0,9.0
Brazil,2020-03-25,2201.0,310.0,46.0,12.0
Brazil,2020-03-26,2433.0,232.0,57.0,11.0
Brazil,2020-03-27,2915.0,482.0,77.0,20.0
Brazil,2020-03-28,3417.0,502.0,92.0,15.0
Brazil,2020-03-29,3904.0,487.0,114.0,22.0
Brazil,2020-03-30,4256.0,352.0,136.0,22.0
Brazil,2020-03-31,4579.0,323.0,159.0,23.0
Brazil,2020-04-01,5717.0,1138.0,201.0,42.0
Brazil,2020-04-02,6836.0,1119.0,241.0,40.0
Brazil,2020-04-03,7910.0,1074.0,299.0,58.0
Brazil,2020-04-04,9056.0,1146.0,359.0,60.0
Brazil,2020-04-05,10278.0,1222.0,432.0,73.0
Brazil,2020-04-06,11130.0,852.0,486.0,54.0
Brazil,2020-04-07,12056.0,926.0,553.0,67.0
Brazil,2020-04-08,13717.0,1661.0,667.0,114.0
Brazil,2020-04-09,15927.0,2210.0,800.0,133.0
Brazil,2020-04-10,17857.0,1930.0,941.0,141.0
Brazil,2020-04-11,19638.0,1781.0,1056.0,115.0
Brazil,2020-04-12,20727.0,1089.0,1124.0,68.0
Brazil,2020-04-13,22169.0,1442.0,1223.0,99.0
Brazil,2020-04-14,23430.0,1261.0,1328.0,105.0
Brazil,2020-04-15,25262.0,1832.0,1532.0,204.0
Brazil,2020-04-16,28320.0,3058.0,1736.0,204.0
Brazil,2020-04-17,30425.0,2105.0,1924.0,188.0
Brazil,2020-04-18,33682.0,3257.0,2141.0,217.0
Brazil,2020-04-19,36599.0,2917.0,2347.0,206.0
Brazil,2020-04-20,38654.0,2055.0,2462.0,115.0
Brazil,2020-04-21,40581.0,1927.0,2575.0,113.0
Brazil,2020-04-22,43079.0,2498.0,2741.0,166.0
Brazil,2020-04-23,45757.0,2678.0,2906.0,165.0
Brazil,2020-04-24,49492.0,3735.0,3313.0,407.0
Brazil,2020-04-25,52995.0,3503.0,3670.0,357.0
Brazil,2020-04-26,58509.0,5514.0,4016.0,346.0
Brazil,2020-04-27,61888.0,3379.0,4205.0,189.0
Brazil,2020-04-28,66501.0,4613.0,4543.0,338.0
Brazil,2020-04-29,71886.0,5385.0,5017.0,474.0
Brazil,2020-04-30,78162.0,6276.0,5466.0,449.0
Brazil,2020-05-01,85380.0,7218.0,5901.0,435.0
Brazil,2020-05-02,91589.0,6209.0,6329.0,428.0
Brazil,2020-05-03,96559.0,4970.0,6750.0,421.0
Brazil,2020-05-04,101147.0,4588.0,7025.0,275.0
Brazil,2020-05-05,107780.0,6633.0,7321.0,296.0
Brazil,2020-05-06,114715.0,6935.0,7921.0,600.0
Brazil,2020-05-07,125218.0,10503.0,8536.0,615.0
Brazil,2020-05-08,135106.0,9888.0,9146.0,610.0
Brazil,2020-05-09,145328.0,10222.0,9897.0,751.0
Brazil,2020-05-10,155939.0,10611.0,10627.0,730.0
Brazil,2020-05-11,162699.0,6760.0,11123.0,496.0
Brazil,2020-05-12,168331.0,5632.0,11519.0,396.0
Brazil,2020-05-13,177589.0,9258.0,12400.0,881.0
Brazil,2020-05-14,188974.0,11385.0,13149.0,749.0
Brazil,2020-05-15,202918.0,13944.0,13993.0,844.0
Brazil,2020-05-16,218223.0,15305.0,14817.0,824.0
Brazil,2020-05-17,233142.0,14919.0,15633.0,816.0
Brazil,2020-05-18,241080.0,7938.0,16118.0,485.0
Brazil,2020-05-19,254220.0,13140.0,16792.0,674.0
Brazil,2020-05-20,271628.0,17408.0,17971.0,1179.0
Brazil,2020-05-21,291579.0,19951.0,18859.0,888.0
Brazil,2020-05-22,310087.0,18508.0,20047.0,1188.0
Brazil,2020-05-23,330890.0,20803.0,21048.0,1001.0
Brazil,2020-05-24,347398.0,16508.0,22013.0,965.0
Brazil,2020-05-25,363211.0,15813.0,22666.0,653.0
Brazil,2020-05-26,374898.0,11687.0,23473.0,807.0
Brazil,2020-05-27,391222.0,16324.0,24512.0,1039.0
Brazil,2020-05-28,411821.0,20599.0,25598.0,1086.0
Brazil,2020-05-29,438238.0,26417.0,26754.0,1156.0
Brazil,2020-05-30,465166.0,26928.0,27878.0,1124.0
Brazil,2020-05-31,498440.0,33274.0,28834.0,956.0
Brazil,2020-06-01,514849.0,16409.0,29314.0,480.0
Brazil,2020-06-02,526447.0,11598.0,29937.0,623.0
Brazil,2020-06-03,555383.0,28936.0,31199.0,1262.0
Brazil,2020-06-04,584016.0,28633.0,32548.0,1349.0
Brazil,2020-06-05,614932.0,30916.0,34021.0,1473.0
Brazil,2020-06-06,645762.0,30830.0,35026.0,1005.0
Brazil,2020-06-07,672837.0,27075.0,35930.0,904.0
Brazil,2020-06-08,691758.0,18921.0,36455.0,525.0
Brazil,2020-06-09,707412.0,15654.0,37134.0,679.0
Brazil,2020-06-10,739503.0,32091.0,38406.0,1272.0
Brazil,2020-06-11,772416.0,32913.0,39680.0,1274.0
Brazil,2020-06-12,802828.0,30412.0,40919.0,1239.0
Brazil,2020-06-13,828810.0,25982.0,41828.0,909.0
Brazil,2020-06-14,850514.0,21704.0,42720.0,892.0
Brazil,2020-06-15,867624.0,17110.0,43332.0,612.0
Brazil,2020-06-16,888271.0,20647.0,43959.0,627.0
Brazil,2020-06-17,923189.0,34918.0,45241.0,1282.0
Brazil,2020-06-18,955377.0,32188.0,46510.0,1269.0
Brazil,2020-06-19,978142.0,22765.0,47748.0,1238.0
Brazil,2020-06-20,1032913.0,54771.0,48954.0,1206.0
Brazil,2020-06-21,1067579.0,34666.0,49976.0,1022.0
Brazil,2020-06-22,1085038.0,17459.0,50617.0,641.0
Brazil,2020-06-23,1106470.0,21432.0,51271.0,654.0
Brazil,2020-06-24,1145906.0,39436.0,52645.0,1374.0
Brazil,2020-06-25,1188631.0,42725.0,53830.0,1185.0
Brazil,2020-06-26,1228114.0,39483.0,54971.0,1141.0
Brazil,2020-06-27,1274974.0,46860.0,55961.0,990.0
Brazil,2020-06-28,1313667.0,38693.0,57070.0,1109.0
Brazil,2020-06-29,1344143.0,30476.0,57622.0,552.0
Brazil,2020-06-30,1368195.0,24052.0,58314.0,692.0
Brazil,2020-07-01,1402041.0,33846.0,59594.0,1280.0
Brazil,2020-07-02,1448753.0,46712.0,60632.0,1038.0
Brazil,2020-07-03,1496858.0,48105.0,61884.0,1252.0
Brazil,2020-07-04,1539081.0,42223.0,63174.0,1290.0
Brazil,2020-07-05,1577004.0,37923.0,64265.0,1091.0
Brazil,2020-07-06,1603055.0,26051.0,64867.0,602.0
Brazil,2020-07-07,1623284.0,20229.0,65487.0,620.0
Brazil,2020-07-08,1668589.0,45305.0,66741.0,1254.0
Brazil,2020-07-09,1713160.0,44571.0,67964.0,1223.0
Brazil,2020-07-10,1755779.0,42619.0,69184.0,1220.0
Brazil,2020-07-11,1800827.0,45048.0,70398.0,1214.0
Brazil,2020-07-12,1839850.0,39023.0,71469.0,1071.0
Brazil,2020-07-13,1864681.0,24831.0,72100.0,631.0
Brazil,2020-07-14,1884967.0,20286.0,72833.0,733.0
Brazil,2020-07-15,1926824.0,41857.0,74133.0,1300.0
Brazil,2020-07-16,1966748.0,39924.0,75366.0,1233.0
Brazil,2020-07-17,2012151.0,45403.0,76688.0,1322.0
Brazil,2020-07-18,2046328.0,34177.0,77851.0,1163.0
Brazil,2020-07-19,2074860.0,28532.0,78772.0,921.0
Brazil,2020-07-20,2098389.0,23529.0,79488.0,716.0
Brazil,2020-07-21,2118646.0,20257.0,80120.0,632.0
Brazil,2020-07-22,2159654.0,41008.0,81487.0,1367.0
Brazil,2020-07-23,2227514.0,67860.0,82771.0,1284.0
Brazil,2020-07-24,2287475.0,59961.0,84082.0,1311.0
Brazil,2020-07-25,2343366.0,55891.0,85238.0,1156.0
Brazil,2020-07-26,2394513.0,51147.0,86449.0,1211.0
Brazil,2020-07-27,2419091.0,24578.0,87004.0,555.0
Colombia,2020-03-05,0.0,0.0,0.0,0.0
Colombia,2020-03-06,0.0,0.0,0.0,0.0
